,error,max_depths,min_leafs,min_splits,std
0,0.7823033707865169,1,1,1,0.019295728958924806
1,0.7823033707865169,1,1,2,0.019295728958924806
2,0.7823033707865169,1,1,3,0.019295728958924806
3,0.7823033707865169,1,1,4,0.019295728958924806
4,0.7823033707865169,1,1,5,0.019295728958924806
5,0.7823033707865169,1,1,6,0.019295728958924806
6,0.7823033707865169,1,1,7,0.019295728958924806
7,0.7823033707865169,1,1,8,0.019295728958924806
8,0.7823033707865169,1,1,9,0.019295728958924806
9,0.7823033707865169,1,1,10,0.019295728958924806
10,0.7823033707865169,1,1,11,0.019295728958924806
11,0.7823033707865169,1,1,12,0.019295728958924806
12,0.7823033707865169,1,1,13,0.019295728958924806
13,0.7823033707865169,1,1,14,0.019295728958924806
14,0.7823033707865169,1,1,15,0.019295728958924806
15,0.7823033707865169,1,1,16,0.019295728958924806
16,0.7823033707865169,1,1,17,0.019295728958924806
17,0.7823033707865169,1,1,18,0.019295728958924806
18,0.7823033707865169,1,1,19,0.019295728958924806
19,0.7823033707865169,1,1,20,0.019295728958924806
20,0.7823033707865169,1,2,1,0.019295728958924806
21,0.7823033707865169,1,2,2,0.019295728958924806
22,0.7823033707865169,1,2,3,0.019295728958924806
23,0.7823033707865169,1,2,4,0.019295728958924806
24,0.7823033707865169,1,2,5,0.019295728958924806
25,0.7823033707865169,1,2,6,0.019295728958924806
26,0.7823033707865169,1,2,7,0.019295728958924806
27,0.7823033707865169,1,2,8,0.019295728958924806
28,0.7823033707865169,1,2,9,0.019295728958924806
29,0.7823033707865169,1,2,10,0.019295728958924806
30,0.7823033707865169,1,2,11,0.019295728958924806
31,0.7823033707865169,1,2,12,0.019295728958924806
32,0.7823033707865169,1,2,13,0.019295728958924806
33,0.7823033707865169,1,2,14,0.019295728958924806
34,0.7823033707865169,1,2,15,0.019295728958924806
35,0.7823033707865169,1,2,16,0.019295728958924806
36,0.7823033707865169,1,2,17,0.019295728958924806
37,0.7823033707865169,1,2,18,0.019295728958924806
38,0.7823033707865169,1,2,19,0.019295728958924806
39,0.7823033707865169,1,2,20,0.019295728958924806
40,0.7823033707865169,1,3,1,0.019295728958924806
41,0.7823033707865169,1,3,2,0.019295728958924806
42,0.7823033707865169,1,3,3,0.019295728958924806
43,0.7823033707865169,1,3,4,0.019295728958924806
44,0.7823033707865169,1,3,5,0.019295728958924806
45,0.7823033707865169,1,3,6,0.019295728958924806
46,0.7823033707865169,1,3,7,0.019295728958924806
47,0.7823033707865169,1,3,8,0.019295728958924806
48,0.7823033707865169,1,3,9,0.019295728958924806
49,0.7823033707865169,1,3,10,0.019295728958924806
50,0.7823033707865169,1,3,11,0.019295728958924806
51,0.7823033707865169,1,3,12,0.019295728958924806
52,0.7823033707865169,1,3,13,0.019295728958924806
53,0.7823033707865169,1,3,14,0.019295728958924806
54,0.7823033707865169,1,3,15,0.019295728958924806
55,0.7823033707865169,1,3,16,0.019295728958924806
56,0.7823033707865169,1,3,17,0.019295728958924806
57,0.7823033707865169,1,3,18,0.019295728958924806
58,0.7823033707865169,1,3,19,0.019295728958924806
59,0.7823033707865169,1,3,20,0.019295728958924806
60,0.7823033707865169,1,4,1,0.019295728958924806
61,0.7823033707865169,1,4,2,0.019295728958924806
62,0.7823033707865169,1,4,3,0.019295728958924806
63,0.7823033707865169,1,4,4,0.019295728958924806
64,0.7823033707865169,1,4,5,0.019295728958924806
65,0.7823033707865169,1,4,6,0.019295728958924806
66,0.7823033707865169,1,4,7,0.019295728958924806
67,0.7823033707865169,1,4,8,0.019295728958924806
68,0.7823033707865169,1,4,9,0.019295728958924806
69,0.7823033707865169,1,4,10,0.019295728958924806
70,0.7823033707865169,1,4,11,0.019295728958924806
71,0.7823033707865169,1,4,12,0.019295728958924806
72,0.7823033707865169,1,4,13,0.019295728958924806
73,0.7823033707865169,1,4,14,0.019295728958924806
74,0.7823033707865169,1,4,15,0.019295728958924806
75,0.7823033707865169,1,4,16,0.019295728958924806
76,0.7823033707865169,1,4,17,0.019295728958924806
77,0.7823033707865169,1,4,18,0.019295728958924806
78,0.7823033707865169,1,4,19,0.019295728958924806
79,0.7823033707865169,1,4,20,0.019295728958924806
80,0.7823033707865169,1,5,1,0.019295728958924806
81,0.7823033707865169,1,5,2,0.019295728958924806
82,0.7823033707865169,1,5,3,0.019295728958924806
83,0.7823033707865169,1,5,4,0.019295728958924806
84,0.7823033707865169,1,5,5,0.019295728958924806
85,0.7823033707865169,1,5,6,0.019295728958924806
86,0.7823033707865169,1,5,7,0.019295728958924806
87,0.7823033707865169,1,5,8,0.019295728958924806
88,0.7823033707865169,1,5,9,0.019295728958924806
89,0.7823033707865169,1,5,10,0.019295728958924806
90,0.7823033707865169,1,5,11,0.019295728958924806
91,0.7823033707865169,1,5,12,0.019295728958924806
92,0.7823033707865169,1,5,13,0.019295728958924806
93,0.7823033707865169,1,5,14,0.019295728958924806
94,0.7823033707865169,1,5,15,0.019295728958924806
95,0.7823033707865169,1,5,16,0.019295728958924806
96,0.7823033707865169,1,5,17,0.019295728958924806
97,0.7823033707865169,1,5,18,0.019295728958924806
98,0.7823033707865169,1,5,19,0.019295728958924806
99,0.7823033707865169,1,5,20,0.019295728958924806
100,0.7823033707865169,1,6,1,0.019295728958924806
101,0.7823033707865169,1,6,2,0.019295728958924806
102,0.7823033707865169,1,6,3,0.019295728958924806
103,0.7823033707865169,1,6,4,0.019295728958924806
104,0.7823033707865169,1,6,5,0.019295728958924806
105,0.7823033707865169,1,6,6,0.019295728958924806
106,0.7823033707865169,1,6,7,0.019295728958924806
107,0.7823033707865169,1,6,8,0.019295728958924806
108,0.7823033707865169,1,6,9,0.019295728958924806
109,0.7823033707865169,1,6,10,0.019295728958924806
110,0.7823033707865169,1,6,11,0.019295728958924806
111,0.7823033707865169,1,6,12,0.019295728958924806
112,0.7823033707865169,1,6,13,0.019295728958924806
113,0.7823033707865169,1,6,14,0.019295728958924806
114,0.7823033707865169,1,6,15,0.019295728958924806
115,0.7823033707865169,1,6,16,0.019295728958924806
116,0.7823033707865169,1,6,17,0.019295728958924806
117,0.7823033707865169,1,6,18,0.019295728958924806
118,0.7823033707865169,1,6,19,0.019295728958924806
119,0.7823033707865169,1,6,20,0.019295728958924806
120,0.7823033707865169,1,7,1,0.019295728958924806
121,0.7823033707865169,1,7,2,0.019295728958924806
122,0.7823033707865169,1,7,3,0.019295728958924806
123,0.7823033707865169,1,7,4,0.019295728958924806
124,0.7823033707865169,1,7,5,0.019295728958924806
125,0.7823033707865169,1,7,6,0.019295728958924806
126,0.7823033707865169,1,7,7,0.019295728958924806
127,0.7823033707865169,1,7,8,0.019295728958924806
